"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-033 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  LKR","Contribution","Time frame for the implement tation","NA"
,,,,,"N","E",,,,,,
"1","528 D","Meepanawa","1. Soil conservation practices - Ambakolahena land (50°-60°)","5","7.03731","80.93006","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices -Hakuruthenne land 50°-60°","5","7.04182","80.92459","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,250,000",,,,,,,,,,,
"2","530B","Wathulanda West","1. Soil conservation practices - Unanthorized Cultivation, Preparation of informal Drains - Pillumale Kotasa (60°-80°)",,,,"6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Ampitigoda (50°-70°)","1","7.011498","80.913661","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Ampitigoda (50°-70°)","1","7.011589","80.907669","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Ampitigoda (50°-70°)","5","7.011261","80.909975","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,500,000",,,,,,,,,,,
"3","530A","Wathulanda East","1. Soil conservation practices (50°-70°)","4","7.01355","80.91658","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (50°-70°)","1","7.01656","80.91186","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000",,,,,,,,,,,
"4","527","Madulla North","1. Soil conservation practices (50°-70°)","5","7.053831","80.915666","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000",,,,,,,,,,,
"5","528C","Maliyadda","1. Soil conservation practices (50°-60°)","1","7.027515","80.916869","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (50°-60°)","1","7.027515","80.916869","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (50°-60°)","5","7.027447","80.91748","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices (50°-70°)","4","7.031092","80.926507","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices (50°-70°)","4","7.031038","80.926483","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,500,000",,,,,,,,,,,
"6","530","Kurupanawela","1. Soil conservation practices (50°-70°) - Watagoda","5","7.02242","80.91837","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
,,,"2. Soil conservation practices (50°-60°) - Paththamale","2","7.01810","80.917660","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,250,000",,,,,,,,,,,
"7","527A","Madulla South","1. Soil conservation practices - Narangasella (50°-60°)","4","7.04567","80.922690","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Gangaragolla land (50°-70°)","5","7.04768","80.917670","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,750,000",,,,,,,,,,,
"8","527B","Morahela","1. Soil conservation practices - Morahela (50°-70°)","1","7.04503","80.93745","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Maduwelketiya (50°-70°)","4","7.05231","80.93007","28 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","7,750,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"36,000,000",,
