"Table 2.2: Land use and land cover details of MWS-033","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Bare land","1.27","0.07%"
"2","Builtup land","2.47","0.13%"
"3","Chena","16.79","0.90%"
"4","Forest lands","454.44","24.45%"
"5","Forest plantation","80.30","4.32%"
"6","Grass land","6.83","0.37%"
"7","Home garden","737.62","39.69%"
"8","Paddy","161.18","8.67%"
"9","Perennials","0.72","0.04%"
"10","Rocky area","5.14","0.28%"
"11","Scrub land","100.70","5.42%"
"12","Seasonal crops","21.24","1.14%"
"13","Tea","248.37","13.36%"
"14","Water bodies","21.35","1.15%"
,"Total","1858.42","100.00%"
