"Table 5.22: Cost estimate of stream protection related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"527","Madalu Oya Embankment",,,"During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","183,940"
"527A","Kotaganarawa kandura","7.04482","80.92866","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","168,205"
"527A","Madulu Oya","7.04861","80.91986","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","168,205"
"527B","1.aliyawetunu ella spring both side","7.04493","80.9382","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","138,505"
"527B","2.Mala kandura","7.04669","80.93132","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","138,505"
"528C","Oboda Oya","7.027823","80.916847","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","183,940"
"528C","Kirawanakandra","7.025451","80.917962","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesStream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m9\" thk flat Rubble paving in 1:6 Cement mortar","183,940"
"528C","Oboda Oya","7.027823","80.916847","During the rainy season when too much water flows, Bank erosion occurs","Collecting and paving of available stones & boulders in the visinity along the stream banks to prevent erosion 200m along the stream","1,045,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
