"Table 2.6: Age group categorization of the population of MWS-033 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70"
"530A","Wathulanda East","22","62","117","101","31","45"
"528D","Meepanawa","34","113","161","139","67","58"
"530B","Wathulanda West","13","99","99","200","68","41"
"527A","Madulla South","52","183","368","176","87","74"
"527B","Morahela","83","198","271","386","123","51"
"530","Kurupanawela","59","134","222","227","104","87"
"527","Madulla North","117","114","81","111","52","54"
"528C","Maliyadda","46","154","264","186","84","39"
"527C","Kandeyaya**","97","197","443","255","113","65"
,"Total","523","1254","2026","1781","729","514"
