"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-006-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","1000","Madadeniya","1. Soil conservation practices - Madadeniya (55 - 60°) ","5","7.226439","80.731200","26 ha","Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.","250 m-1","6,500,000","Labour and other basic services by the Local community","1.5 Years"
" "," ",""," ","3","7.228609","80.733010","","","","","",""
" "," ","","`","1","7.228896","80.732602","","","","","",""
" "," ","","2. Soil conservation practices - Madadeniya Thennagama (65°) ","1","7.229732","80.731594","1.5 ha","Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Madawala Thenna (65°) ","5","7.231763","80.732069","24 ha","Live fencing/SALT and/or Stone terracing, Introducing perennial crops like coffee, pepper, tea, clove etc.","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ","","4. Soil conservation practices - Gamsara Waththa (45°) ","3","7.228307","80.731701","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","5. Soil conservation practices - Bolgoda (55°) ","5","7.228137","80.725327","10 ha","Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","17,875,000"," "," ",,,,,,,,,
"2","1007","Marassana","1. Soil conservation practices - Marassana Siyambala Ella (45°)","3","7.217816","80.736393","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
" "," ","","2. Soil conservation practices - Near Elikewela Bridge (80°)","1","7.214794","80.734368","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Marassana (45 - 80°)","4","7.221812","80.734562","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
" "," "," ","4. Soil conservation practices - Pinnagolla (80 - 90°)","4","7.218811","80.731040","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,500,000"," "," ",,,,,,,,,
"3","1008","Damunugolla","1. Soil conservation practices - Damunugolla (60 - 80°)","2","7.224757","80.740749","16 ha","Live fencing/SALT and growing perennial crops like pepper, coffee etc. and stone terracing","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
" "," ",""," ","5","7.225756","80.740430","40 ha","","250 m-1","10,000,000","","1.5 Years"
" "," ",""," ","1","7.226327","80.739841","5 ha","","250 m-1","1,250,000","","0.25 Years"
