No,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost per GN (Rs.),"Contribution (Local Community, LA, and the project)",The time frame for the implementation
1,1000,Madadeniya,1. Development of natural drains - Asweddumayaya Kandura,1,1,7.222823,80.731897,,4400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"440, 000",,Labour and other basic services by the Local community,0.25 Years
2,1000,Madadeniya,2. Development of natural drains - Gamsara Ela,3,1,7.22617,80.730294,,1300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130, 000",,Labour and other basic services by the Local community,0.25 Years
3,1000,Madadeniya,3. Development of natural drains - Akkara 12 Kandura,5,1,7.229304,80.732107,,1100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"110, 000",,Labour and other basic services by the Local community,0.25 Years
4,1000,Madadeniya,4. Development of natural drains - Welegammadda Kandura,1,1,7.229712,80.725515,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.25 Years
5,1000,Madadeniya,5. Soil conservation practices - Madadeniya (55 - 60°),5,1,7.226439,80.7312,,26 ha,"Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.",250 m-1,"6, 500, 000",,Labour and other basic services by the Local community,0.5 Years
6,1000,Madadeniya,,3,2,7.228609,80.73301,,,,,,,,
7,1000,Madadeniya,,1,3,7.228896,80.732602,,,,,,,,
8,1000,Madadeniya,6. Soil conservation practices - Madadeniya Thennagama (65°),1,1,7.229732,80.731594,,1.5 ha,"Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.",250 m-1,"375, 000",,Labour and other basic services by the Local community,0.25 Years
9,1000,Madadeniya,7. Soil conservation practices - Madawala Thenna (65°),5,1,7.231763,80.732069,,24 ha,"Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.
Stone terracing",250 m-1,"6, 000, 000",,Labour and other basic services by the Local community,0.5 Years
10,1000,Madadeniya,8. Soil conservation practices - Gamsara Waththa (45°),3,1,7.228307,80.731701,,10 ha,"Live fencing/SALT
Stone terracing",250 m-1,"2, 500, 000",,Labour and other basic services by the Local community,0.5 Years
11,1000,Madadeniya,9. Soil conservation practices - Bolgoda (55°),5,1,7.228137,80.725327,,10 ha,"Live fencing/SALT, Introducing perennial crops like coffee, pepper, tea, clove etc.",250 m-1,"2, 500, 000","18, 755, 000",Labour and other basic services by the Local community,0.5 Years
12,1007,Marassana,1. Development of natural drains - Kandura at R.M. Ranasinghe Banda,1,1,7.216327,80.735387,,450 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"45, 000",,Labour and other basic services by the Local community,0.5 Years
13,1007,Marassana,2. Development of natural drains - Koswaththe Gedara Kandura,3,1,7.217816,80.736393,,125 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"125, 000",,Labour and other basic services by the Local community,0.5 Years
14,1007,Marassana,3. Development of natural drains - Kandura near Hospital,3,1,7.218452,80.736041,,250 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250, 000",,Labour and other basic services by the Local community,0.5 Years
15,1007,Marassana,4. Soil conservation practices - Marassana Siyambala Ella (45°),3,1,7.217816,80.736393,,7 ha,Live fencing/SALT,250 m-1,"1, 750, 000",,Labour and other basic services by the Local community,0.5 Years
16,1007,Marassana,5. Soil conservation practices - Near Elikewela Bridge (80°),1,1,7.214794,80.734368,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000",,Labour and other basic services by the Local community,0.5 Years
17,1007,Marassana,6. Soil conservation practices - Marassana (45 - 80°),4,1,7.221812,80.734562,,14 ha,"Live fencing/SALT
Stone terracing",250 m-1,"3, 500, 000",,Labour and other basic services by the Local community,0.5 Years
18,1007,Marassana,7. Soil conservation practices - Pinnagolla (80 - 90°),4,1,7.218811,80.73104,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000","5, 920, 000",Labour and other basic services by the Local community,0.5 Years
19,1008,Damunugolla,1. Development of natural drains - Kandura near Madiththa Well,5,1,7.223429,80.739881,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
20,1008,Damunugolla,2. Development of natural drains - Murapola Ela Kandura 1,4,1,7.227564,80.737452,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
21,1008,Damunugolla,3. Development of natural drains - Murapola Ela Kandura 2,1,1,7.222743,80.738231,,250 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"25, 000",,Labour and other basic services by the Local community,0.25 Years
22,1008,Damunugolla,4. Soil conservation practices - Damunugolla (60 - 80°),2,1,7.224757,80.740749,,16 ha,"Live fencing/SALT and growing perennial crops like pepper, coffee etc. and stone terracing",250 m-1,"4, 000, 000",,Labour and other basic services by the Local community,0.25 Years
23,1008,Damunugolla,,5,2,7.225756,80.74043,,40 ha,,250 m-1,"10, 000, 000",,,1 Year
24,1008,Damunugolla,,1,3,7.226327,80.739841,,5 ha,,250 m-1,"1, 250, 000",,,0.25 Years
25,1008,Damunugolla,,4,4,7.227433,80.738604,,3 ha,,250 m-1,"750, 000",,,0.25 Years
26,1008,Damunugolla,,2,5,7.228718,80.736875,,3 ha,,250 m-1,"750, 000",,,0.25 Years
27,1008,Damunugolla,,1,6,7.228773,80.736815,,24 ha,,250 m-1,"6, 000, 000",,,0.5 Years
28,1008,Damunugolla,5. Establishing a retaining wall,4,1,7.225844,80.74117,,25 m x 2 m,Retaining wall,"2, 000 m-2","100, 000","22, 915, 000",Labour and other basic services by the Local community,
29,1009,Meeruppa,1. Development of natural drains - Kandura near Marassana Primary School,4,1,7.217272,80.736989,,40 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"4, 000",,Labour and other basic services by the Local community,0.25 Years
30,1009,Meeruppa,2. Development of natural drains - Ududeniya (Road) Kandura,1,1,7.216922,80.740052,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
31,1009,Meeruppa,3. Soil conservation practices - Marassana Adarsha School (90°),3,1,7.21813,80.737256,,10 ha,Live fencing/SALT,250 m-1,"2, 500, 000",,Labour and other basic services by the Local community,0.25 Years
32,1009,Meeruppa,4. Soil conservation practices - Marassana National College (80°),1,1,7.216217,80.742572,,14 ha,"Live fencing/SALT
Stone terracing",250 m-1,"3, 500, 000",,Labour and other basic services by the Local community,0.25 Years
33,1009,Meeruppa,5. Soil conservation practices - A.M. Indrakumari Dehikotuwa (30°),4,1,7.215463,80.743023,,6 ha,Lock and spills,400 m-1,"2, 400, 000",,Labour and other basic services by the Local community,0.25 Years
34,1009,Meeruppa,6. Establishing a retaining wall - Dehikotuwa/Gayawaththa,1,1,7.217595,80.742195,,1000 m x 1.5 m,Retaining wall,"2, 000 m-2","3, 000, 000","11, 424, 000",Labour and other basic services by the Local community,0.5 Years
35,1010,Elikewela,1. Development of natural drains - Haragam Oya,1,1,7.212422,80.736708,,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100, 000",,Labour and other basic services by the Local community,0.25 Years
36,1010,Elikewela,2. Development of natural drains - Elikewela Ela,1,1,7.214508,80.733848,,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50, 000",,Labour and other basic services by the Local community,0.25 Years
37,1010,Elikewela,3. Soil conservation practices - Elikewela Ambalama (30°),4,1,7.212612,80.73386,,20 ha,Lock and spills,400 m-1,"8, 000, 000",,Labour and other basic services by the Local community,0.25 Years
38,1010,Elikewela,4. Soil conservation practices - Elikewela Community Center (70°),1,1,7.211417,80.736327,,20 ha,Live fencing/SALT,250 m-1,"5, 000, 000",,Labour and other basic services by the Local community,0.25 Years
39,1010,Elikewela,5. Establishing a retaining wall - Meeriyakada Oya,2,1,7.208928,80.740978,,30 m x 2.5 m,Retaining wall,"2, 000 m-2","150, 000",,Labour and other basic services by the Local community,0.25 Years
40,1010,Elikewela,6. Establishing a retaining wall - Meeriyakada Bridge,1,1,7.211417,80.736327,,10 m x 2.5 m,Retaining wall,"2, 000 m-2","50, 000","13, 350, 000",Labour and other basic services by the Local community,0.25 Years
41,1011,Galagoda,1. Development of natural drains - Muragalayala Kottagahamula Kandura,1,1,7.207576,80.750039,,50 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"5, 000",,Labour and other basic services by the Local community,0.25 Years
42,1011,Galagoda,2. Development of natural drains - Meeriyakada Oya,1,1,7.208431,80.741504,,100 m,"Clearing and planting some trees along the banks (Areca nut) and other conservation practices, Planting 'Epala'; Having stream reservations",,"10, 000",,Labour and other basic services by the Local community,0.25 Years
43,1011,Galagoda,3. Soil conservation practices - Panabokka Waththa (40°),4,1,7.21017,80.748856,,20 ha,"Live fencing/SALT
Stone terracing",250 m-1,"5, 000, 000",,Labour and other basic services by the Local community,0.25 Years
44,1011,Galagoda,4. Soil conservation practices - Harankaduwa (80°),4,1,7.210564,80.74788,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000",,Labour and other basic services by the Local community,0.25 Years
45,1011,Galagoda,5. Soil conservation practices - Murapola Ela and Main Road (65°),1,1,7.207576,80.750041,,8 ha,Live fencing/SALT,250 m-1,"2, 000, 000",,Labour and other basic services by the Local community,0.25 Years
46,1011,Galagoda,6. Soil conservation practices - Meeriyakada (45°),1,1,7.207727,80.73852,,10 ha,Live fencing/SALT,250 m-1,"2, 500, 000",,Labour and other basic services by the Local community,0.25 Years
47,1011,Galagoda,7. Establishing a side wall - Meeriyakada Bridge/Bank erosion,1,1,7.208478,80.741372,,20 m x 3 m,Side wall,"2, 000 m-2","120, 000","9, 760, 000",Labour and other basic services by the Local community,0.25 Years
48,1012,Kiriwanagoda,1. Development of natural drains - Nidihena Kandura,5,1,7.201328,80.735208,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
49,1012,Kiriwanagoda,2. Soil conservation practices - Dangamuwa (20°),1,1,7.20626,80.74864,,4 ha,Lock and spills,400 m-1,"1, 600, 000",,Labour and other basic services by the Local community,0.25 Years
50,1012,Kiriwanagoda,3. Soil conservation practices - Dangamuwa Oya (80 - 90°),1,1,7.20699,80.742878,,1 km,"Clearing and planting some trees along the banks (Kumbuk) and other conservation practices, Planting 'Epala'; Having stream reservations",,"100, 000","1, 720, 000",Labour and other basic services by the Local community,0.25 Years
51,1013,Kandewela,"1. Soil conservation practices - Wasantha Bandara Subasingha, (60°)",3,1,7.217746,80.725718,,8 ha,Live fencing/SALT,250 m-1,"2, 000, 000",,Labour and other basic services by the Local community,0.25 Years
52,1013,Kandewela,2. Soil conservation practices - Either sides of Kandewela Oya (70°),5,1,7.215057,80.72244,,4 ha,Live fencing/SALT,250 m-1,"1, 000, 000",,Labour and other basic services by the Local community,0.25 Years
53,1013,Kandewela,3. Soil conservation practices - Batakandu Kumbure Waththa (35°),5,1,7.214117,80.72214,,6 ha,Lock and spills,400 m-1,"2, 400, 000",,Labour and other basic services by the Local community,0.25 Years
54,1013,Kandewela,4. Soil conservation practices - Wasala Waththa Yaya (80°),5,1,7.21346,80.723655,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000","5, 525, 000",Labour and other basic services by the Local community,0.25 Years
55,1014,Bowlana,1. Development of natural drains - Atambagolla Kandura,5,1,7.208247,80.719306,,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400, 000",,Labour and other basic services by the Local community,0.25 Years
56,1014,Bowlana,2. Development of natural drains - Ihalakanda Kandura,5,1,7.205508,80.71986,"7.206804, 80.720229",600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60, 000",,Labour and other basic services by the Local community,0.25 Years
57,1014,Bowlana,3. Development of natural drains - Deniye Kandura,5,1,7.208737,80.721639,,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20, 000",,Labour and other basic services by the Local community,0.25 Years
58,1014,Bowlana,4. Development of natural drains - Damunugaspara Kandura,1,1,7.215498,80.716408,,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200, 000",,Labour and other basic services by the Local community,0.25 Years
59,1014,Bowlana,5. Development of natural drains - Panwaththapara Kandura,1,1,7.209665,80.716979,,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30, 000",,Labour and other basic services by the Local community,0.25 Years
60,1014,Bowlana,6. Development of natural drains - Pissakanatiya Kandura,3,1,7.210182,80.721422,,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400, 000",,Labour and other basic services by the Local community,0.25 Years
61,1014,Bowlana,7. Development of natural drains – Udu Pihilla Kandura,4,1,7.209733,80.715934,,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500, 000",,Labour and other basic services by the Local community,0.25 Years
62,1014,Bowlana,8. Soil conservation practices - Dangamuwa (60°),3,1,7.208896,80.718301,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000",,Labour and other basic services by the Local community,0.25 Years
63,1014,Bowlana,9. Soil conservation practices - Dangamuwa (70°),2,1,7.206347,80.719561,,12 ha,"Live fencing/SALT
Stone terracing",250 m-1,"3, 000, 000",,Labour and other basic services by the Local community,0.25 Years
64,1014,Bowlana,10. Soil conservation practices - Dangamuwa (70°),1,1,7.205575,80.720157,,0.5 ha,Live fencing/SALT,250 m-1,"125, 000","4, 860, 000",Labour and other basic services by the Local community,0.25 Years
65,1015,Oluwawaththa,1. Development of natural drains - Haragam Oya,1,1,7.202555,80.73137,,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250, 000",,Labour and other basic services by the Local community,0.25 Years
66,1015,Oluwawaththa,2. Development of natural drains - Kandura to Rathhinda Ela,3,1,7.202582,80.732525,,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10, 000",,Labour and other basic services by the Local community,0.25 Years
67,1015,Oluwawaththa,3. Development of natural drains - Kandura at Diddanayaka House,4,1,7.200474,80.731503,,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10, 000",,Labour and other basic services by the Local community,0.25 Years
68,1015,Oluwawaththa,4. Soil conservation practices - Pasgama Raja Maha Viharaya (80°),3,1,7.202847,80.733192,,25 ha,"Live fencing/SALT
Stone terracing
Planting perennial crops like pepper, coffee etc.",250 m-1,"6, 250, 000",,Labour and other basic services by the Local community,0.25 Years
69,1015,Oluwawaththa,5. Soil conservation practices - A.J. Nandasena (70°),3,1,7.201317,80.734616,,25 ha,"Live fencing/SALT
Stone terracing
Planting perennial crops like pepper, coffee etc.",250 m-1,"6, 250, 000","12, 770, 000",Labour and other basic services by the Local community,0.25 Years
70,1016,Hewawissa East,1. Development of natural drains - Kandura near Dullinda,5,1,7.205369,80.73295,,100 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"10, 000",,Labour and other basic services by the Local community,0.25 Years
71,1016,Hewawissa East,"2. Soil conservation practices - Udakotuwa, Hewawissa (60°)",5,1,7.205896,80.731789,,25 ha,"Live fencing/SALT
Stone terracing",250 m-1,"6, 250, 000",,Labour and other basic services by the Local community,0.25 Years
72,1016,Hewawissa East,3. Soil conservation practices - Pansal Waththa (70°),5,1,7.20489,80.732938,,25 ha,"Live fencing/SALT
Stone terracing",250 m-1,"6, 250, 000","12, 510, 000",Labour and other basic services by the Local community,0.25 Years
