"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-006-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF FARM","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,,"N or X","E or Y",,,,,,
"1","1000","Madadeniya","1. Development of natural drains - Asweddumayaya Kandura","1","OFF","7.222823","80.731897","4400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"440,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Gamsara Ela","3","OFF","7.22617","80.730294","1300 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"130,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Akkara 12 Kandura","5","OFF","7.229304","80.732107","1100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"110,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"4. Development of natural drains - Welegammadda Kandura","1","OFF","7.229712","80.725515","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","880,000",,,,,,,,,,,,
"2","1007","Marassana","1. Development of natural drains - Kandura at R.M. Ranasinghe Banda","1","OFF","7.216327","80.735387","450 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"45,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"2. Development of natural drains - Koswaththe Gedara Kandura","3","OFF","7.217816","80.736393","125 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"125,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"3. Development of natural drains - Kandura near Hospital","3","OFF","7.218452","80.736041","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
"Sub Total","420,000",,,,,,,,,,,,
"3","1008","Damunugolla","1. Development of natural drains - Kandura near Madiththa Well","5","OFF","7.223429","80.739881","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Murapola Ela Kandura 1","4","OFF","7.227564","80.737452","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Murapola Ela Kandura 2","1","OFF","7.222743","80.738231","250 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"25,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"5. Establishing a retaining wall","4","OFF","7.225844","80.74117","25 m  x 2 m","Retaining Wall (Masonary)",,"1,100,000","By the prohject","0.25 Years"
"Sub Total","1,165,000",,,,,,,,,,,,
"4","1009","Meeruppa","1. Development of natural drains - Kandura near Marassana Primary School","4","OFF","7.217272","80.736989","40 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"4,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Ududeniya (Raod) Kandura","1","OFF","7.216922","80.740052","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"6. Establishing a retaining wall - Dehikotuwa/Gayawaththa","1","OFF","7.217595","80.742195","1000 m  x 2 m","Retaining Wall (Masonary)",,"44,000,000","By the prohject","0.5 Years"
"Sub Total","44,024,000",,,,,,,,,,,,
"5","1010","Elikewela","1. Development of natural drains - Haragam Oya","1","OFF","7.212422","80.736708","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Elikewela Ela","1","OFF","7.214508","80.733848","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"5. Establishing a retaining wall - Meeriyakada Oya","2","OFF","7.208928","80.740978","30 m x 2 m","Retaining Wall (Masonary)",,"1,320,000","By the prohject","0.25 Years"
,,,"6. Establishing a retaining wall - Meeriyakada Bridge","1","OFF","7.211417","80.736327","10 m x 2 m","Retaining Wall (Masonary)",,"440,000","By the prohject","0.25 Years"
"Sub Total","1,910,000",,,,,,,,,,,,
"6","1011","Galagoda","1. Development of natural drains - Muragalayala Kottagahamula Kandura","1","OFF","7.207576","80.750039","50 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"5,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Meeriyakada Oya","1","OFF","7.208431","80.741504","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices, Planting 'Epala'; Having stream reservations",,"10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"7. Establishing a retaining wall - Meeriyakada Brindge/Bank erosion","1","OFF","7.208478","80.741372","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the prohject","0.25 Years"
"Sub Total","2,347,000",,,,,,,,,,,,
"7","1012","Kiriwanagoda","1. Development of natural drains - Nidihena Kandura","5","OFF","7.201328","80.735208","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","20,000",,,,,,,,,,,,
"8","1013","Kandewela","No special issues are reported",,,,,,,,,,
"9","1014","Bowlana","1. Development of natural drains - Atambagolla Kandura","5","OFF","7.208247","80.719306","4 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"400,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Ihalakanda Kandura","4","OFF","7.205508 7.206804","80.71986 80.720229","600 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Deniye Kandura","5","OFF","7.208737","80.721639","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"4. Development of natural drains - Damunugaspara Kandura","1","OFF","7.215498","80.716408","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"5. Development of natural drains - Panwaththapara Kandura","1","OFF","7.209665","80.716979","300 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"30,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"6. Development of natural drains - Pissakanatiya Kandura","3","OFF","7.210182","80.721422","4 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"400,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"7. Development of natural drains - Udupihilla Kandura","4","OFF","7.209733","80.715934","5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"500,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","1,610,000",,,,,,,,,,,,
"10","1015","Oluwawaththa","1. Development of natural drains - Haragam Oya","1","OFF","7.202555","80.731370","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"250,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Kandura to Rathhinda Ela","3","OFF","7.202582","80.732525","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Kandura at Diddanayaka House","1","OFF","7.200474","80.731503","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","270,000",,,,,,,,,,,,
"11","1016","Hewawissa East","1. Development of natural drains - Kandura near Dullinda","5","OFF","7.205369","80.73295","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","10,000",,,,,,,,,,,,
"12","1017","Hewawissa West","1. Development of natural drains - Kandura at U.M. Punchibanda's Homegarden","5","OFF","7.208792","80.729065","40 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"4,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"2. Development of natural drains - Ambakoluwa Kandura","4","OFF","7.209130","80.72 7655","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"3. Development of natural drains - Gallana Mulla Kandura","4","OFF","7.209290","80.727328","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"4. Development of natural drains - Panupe Kandura","4","OFF","7.207305","80.730052","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
,,,"5. Development of natural drains - Panupe Athuru Kandura","5","OFF","7.207684","80.729896","0.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
