"Table 2.2: Land use and land cover details of MWS-015","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","0.2","0.0%"
"2","Forest lands","999.3","72.3%"
"3","Forest plantation","4.5","0.3%"
"4","Grass land","1.9","0.1%"
"5","Home garden","2.7","0.2%"
"6","Paddy","2.9","0.2%"
"7","Rocky area","13.2","1.0%"
"8","Scrub land","14.3","1.0%"
"9","Seasonal crops","217.9","15.8%"
"10","Tea","113.9","8.2%"
"11","Water bodies","3.2","0.2%"
"12","Wetland","7.5","0.5%"
,"Total","1381.5","100.0%"
