"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-015","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","511 A","Deegalahinna","1. Renovation of natural drains - Torrent 1 (Kandura 1)","5","7.061496","80.767824","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kalu Palama Ella","5","7.064181","80.767129","6 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","600,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Waththe Kumbura torrent (Kandura)","3","7.063279","80.764963","5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,500,000",,,,,,,,,,
"2","511 E","Elamulla","1. Renovation of natural drains - Dothuru torrent","4","7.047505","80.773644","7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","700,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent flows by the animal farm","5","7.057515","80.768026","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent flows in the middle of 10 houses","5","7.05738","80.770321","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Torrent flows by the animal farm 2","1","7.057738","80.770321","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Torrent flows by the animal farm","1","7.056947","80.771340","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Torrent near the estate houses","1","7.056944","80.772166","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","2,100,000",,,,,,,,,,
,,,,,,,,"Grand Total","3,600,000",,
