"Table 2.1: Administrative details of MWS-015","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS 015  ha","X  Area belongs to MWS 015","Remarks"
"1","511A","Deegalahinna","927.9","545.4","58.8%","Shared between MWS-015 and MWS-018-1"
"2","511E","Elamulla","925.4","775.1","83.8%",
"3",,"Kudaoya*","375.3","15.3","4.1%","Included in a separate MWS in Kothmale East DSD"
"4","512E","Labuhenwala*","123.5","0.1","0.1%","Included in MWS-017"
"5","512G","Medawela*","96.9","0.05","0.1%","Included in MWS-016"
"6",,"Samaneliya*","197.1","1.1","0.5%","Included in a separate MWS in Kothmale East DSD"
"7","512D","Udawela1*","390.2","3.0","0.8%","Included in MWS-016"
"8",,"Wedamulla*","1388.0","41.3","3.0%","Included in a separate MWS in Kothmale East DSD"
