"Table 6.17: Time frame for implementing domestic water and water source protection related proposals","","","","","",""
"GND No","Name and location of the spring","Location N","Location E","Observed problems","Description","Amount  Rs"
"504 A","School zone","7.054687","80.853131","A well has been constructed that is 2.0m Ø and 6.0m deep. Water is obtained for the use of school students. The well needs to be deepened further. A over head tank should be built and water should be pumped into it and distributed.","Drilling of tube well (5m deep) with supplying and fixing of 0.5 HP x 4\" Dia tube well pump including all necessary connections and constructing a protective cell for the pump and mounting the same to good working order    Removing silt from well depth up to 9\" and well clearing 1:3:6 (1 1/2\") Cement concrete, machine mixing and placing                                       Earth excavation to deepen well (Ordinary soil)                                                          Construction of 
Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                     Providing PVC pipes, pipe joints, etc.. to convey water                                                                                                                        Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","831,959.37"
,,,,,,
"504 A","Spring of Bramli Estate boarder","7.054248","80.864746","An area where a group of springs is located. The area where the springs are located should be preserved. Water is currently being used irregularly.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                            Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                            Cutting (3-5)ft girth trees, uprooting and removing from reservation                                                          Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","811,325.00"
"504 A","Upper part of Binganthalawa Reservation","7.049303","80.859964","An area where a group of springs is located. The area where the springs are located should be preserved.","Cutting (3-5)ft girth trees, uprooting and removing from reservation                                     Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                             Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","261,325.00"
"504 A","Sagalapura, Binganthalawa","7.049303","80.859964","A watershed area with marked boundaries.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","76,900.00"
"504 B","High forest Block No. 14 - Spring","7.057127","80.844053","The water from the spring flows like a stream. A concrete wall is built across the stream to obtain water for the Hospital. By constructing a new tank at this location and connecting it to the existing water storage tank 1, Water can be provided to about 80 families.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 1/2\" thick 1:3 cement mortar plastering to prevent leakages in lining                                                                                 Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                  Providing PVC pipes, pipe joints, etc.. to convey water","594,670.00"
"504 B","High forest Block No. 14 - Storage Tank 1","7.06386","80.841094","A new tank should be constructed at the location of the spring, The pipeline should be constructed from the this tank  to storage tank 1 & 2, Plastering of the water storage tank 2, 500m of 50mm Ø PVC pipes, 200m of 25mm Ø PVC pipes and 100m of 12.5mm Ø PVC pipes are required to be provided.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                         1/2\" thick 1:3 cement mortar plastering to prevent leakages in lining                                            Providing PVC pipes, pipe joints, etc.. to convey water                                                                                 Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","594,670.00"
"504 B","High forest Block No. 14 - Storage Tank 2","7.064411","80.841343","There is a 1.8m x 1.8m x 1.8m water storage tank that was built about 10 years ago and it needs to be plastered. Can be used as a water distribution tank when the project is reactivated.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                           1/2\" thick 1:3 cement mortar plastering to prevent leakages in lining                                             Providing PVC pipes, pipe joints, etc.. to convey water                                                                                     Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","595,954.80"
"504 B","Block No. 14","7.057127","80.844053","Water spring should be conserved.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                                            Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","60,450.00"
"504 D","High forest No. 1 Spring (Up side of bungalow)","7.0533","80.82512","A tank has been built at the site of the spring. A water treatment unit also has been constructed but not used.","Providing PVC pipes, pipe joints, etc.. to convey water                                                                           Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","41,750.00"
"504 D","High forest No. 1 Spring (Mahaweli Block)","7.04442","80.82151","A complete water project has been constructed, including water storage tank, a water treatment unit, a chlorination unit and a water pumping station. The water distribution pipeline system has been constructed and water connections have been provided to 60 houses. The project is not operational due to lack of electricity connection and placement of pumps.","_",
"504 D","High forest No. 2 Springs  1 (near Murugan Kovil)","7.06804","80.82974","There are 4 springs located next to each other above lake. Small tanks have been built for three springs. About 57 families use water.","1/2\" thick 1:3 cement motor plastering to prevent leakages in lining                                                  Nets to prevent leaves and dirt falling into tanks                                                                                           Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","43,569.20"
"504 D","High forest No. 1 Spring (Up side of bungalow)","7.0533","80.82512","Water spring should be conserved.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                         Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","60,450.00"
"504 D","High forest No. 2 Spring (near Murugan Kovil)","7.06804","80.82974","Water spring should be conserved.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                            Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","33,750.00"
"533 I","Reserve Water Spring","7.039878","80.843092","Located within the reserve boundaries belonging to the Forest Conservation Department. Currently, about 50 families obtain water informally using pipes. It is appropriate to implement a formal water project with the permission of the Forest Conservation Department.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                          Providing PVC pipes, pipe joints, etc.. to convey water                                                                                 Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","591,750.00"
"533 I","Ice Pihilla Water Spring","7.03553","80.833518","About 6 families obtain water from the spring for drinking and cultivation.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                 Providing PVC pipes, pipe joints, etc.. to convey water                                                                                    Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","591,750.00"
"533 I","Common Well","7.039982","80.831148","A well has been constructed that is 2.0m long, 1.8m wide and 2.5m deep. The constructed well is in a dilapidated condition, About 40 families obtain water for drinking and bathing","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                          Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","561,750.00"
"533 I","Thawana Kandura Spring","7.033482","80.834271","Currently, about 150 families obtain water informally using pipes.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                   Providing PVC pipes, pipe joints, etc.. to convey water                                                     Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","591,750.00"
"533 I","Kurundu Oya Catchment area (Reserve Zone)","7.040613","80.824584","Belongs to the Kurundu Oya watershed. The Kalukele stream ( Mahakudugala Oya ) flows through the reserve, On one side of the stream are lands belonging to the Forest Conservation Department and on the other side is private land where vegetables are grown.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                              Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                            Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","223,900.00"
,,,,"Total",,"6,567,673.37"
