"Table 5.16: Details related to water pollution in MWS-012 belongs to Hanguranketha DS Division","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Point sources of pollution","Coordinates  1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,"N or X","E or Y",,,,,
"1","496A","Ambaliyadda1","No special issues reported",,,,,,,,,,
"2","496B","Arattana","Improper disposal of household waste/tourist waste into the stream near the temple","7.178317","80.769454",,,,"Providing trash bins to collect categorised wastes.",,"200,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to dispose these waste properly and potential methods for recycling them",,"50,000.00",,
"3","496C","Dampola","No special issues reported",,,,,,,,,,
"4","494","Damunumeya","No special issues reported",,,,,,,,,,
"5","495D","Delgahapitiya","Improper disposal of household waste - Delgahapitiya","7.181831","80.774717",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"6","494D","Deliwala","Improper disposal of household waste - Deliwala","7.17057","80.768771",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"7","494D","Deliwala","No special issues reported",,,,,,,,,,
"8","492","Diya - Udagama","No special issues reported",,,,,,,,,,
"9","492B","Dodamkumbura","No special issues reported",,,,,,,,,,
"10","494A","Dolugala","No special issues reported",,,,,,,,,,
"11","495","Hanguranketha","No special issues reported",,,,,,,,,,
"12","496","Hapuwala","No special issues reported",,,,,,,,,,
"13","493A","Kottala","No special issues reported",,,,,,,,,,
"14","493","Madanwala","No special issues reported",,,,,,,,,,
"15","495C","Pallemaluwa","No special issues reported",,,,,,,,,,
"16","495A","Pussalamankada","No special issues reported",,,,,,,,,,
"17","494C","Rathmetiya","No special issues reported",,,,,,,,,,
"18","497A","Rekitipe","No special issues reported",,,,,,,,,,
"19","492A","Rikillagaskada","Improper disposal of waste (toilet waste, household waste etc.) - Galpoththa Kandura and Diyabubula village","7.1466587.1479957.146763","80.78386180.78229780.784477",,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"20","492C","Walalawela","No special issues reported",,,,,,,,,,
"21","495B","Yati Hanguranketha","Addition of agrochemicals - Paddy fields near the Hapuge Well","7.185899","80.761083",,,,"Awareness programme on how to use agrochemicals properly",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Providing methods for collecting other wastes (E.g.: categorized bins) and disposing them",,"200,000.00",,
"Grand Total","650,000.00",,,,,,,,,,,,
