"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-012 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","496A","Ambaliyadda1","No special issues are reported",,,,,,,,,
"2","496B","Arattana","No special issues are reported",,,,,,,,,
"3","496C","Dampola","1. Soil conservation practices - Dampola  (60°)","1","7.182702","80.757141","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","300,000",,,,,,,,,,,
"4","494","Damunumeya","No special issues are reported",,,,,,,,,
"5","494E","Damunumeya North","1. Soil conservation practices - Kottegoda  (60°)","1","7.177141","80.770358","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","300,000",,,,,,,,,,,
"6","495D","Delgahapitiya","1. Soil conservation practices - Delgahapitiya  (70°)","5","7.181825","80.774691","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Tank road  (80°)","5","7.181964","80.775461","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,500,000",,,,,,,,,,,
"7","494D","Deliwala","1. Soil conservation practices - Alawthugama  (70°)","4","7.168536","80.770438","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"8","492","Diya - Udagama","1. Soil conservation practices - Wawathenna  (75°)","5","7.162859","80.791727","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Wawathenna  (65°)","4","7.159025","80.793332","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Wawathenna  (60°)","1","7.157226","80.794072","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Wawathenna  (65°)","1","7.156888","80.795016","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Wawathenna  (65°)","5","7.157928","80.792584","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Diya - Udagama (75°)","2","7.160695","80.784193","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Maa Palalla Reserve  (70°)","4","7.15769","80.783519","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","8,950,000",,,,,,,,,,,
"9","492B","Dodamkumbura","1. Soil conservation practices - Udawalugama  (70°)","4","7.151954","80.789721","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Udawalugama  (60°)","1","7.15066","80.789146","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Ilukkotuwa  (65°)","3","7.155758","80.788945","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
