"Table 5.30: Suitable species for restoration and home garden enrichment","","","",""
"Common name","Species","Family","Users","Suitable area"
"Hana","Furcraea foetida /Agave sp.","Aspagaraceae","Fiber/ Fire Prevention","Open ground/ Fire prone area"
"Karapinchcha","Bergera koenigii","Rutaceae","Condiment","buffer zone Below 900m"
"Yaki Naran","Atalantia ceylanica","Rutaceae","Medicinal/ Dry Leves tea","buffer zone Below 900m"
"Heen Bovitiya","Osbeckia sp.","Melastomataceae","Medicinal Dry Leves tea","Grasslands rocky area"
"Maliththan","Woodfordia fruticosa","Lythraceae","Medicinal","Grasslands rocky area/ banks"
"Beeriya","Litsea ovalifolia","Lauraceae","Wood/firewood","Forest gardens/ Initial restorations process"
"Kudu daula","Neolitsea fuscata","Lauraceae","Wood/firewood","Forest gardens/ Initial restorations process"
"Ketamilla","Dovyalis hebecarpa","Salicaceae","Fruit","Forest gardens/ Initial restorations process/ Grasslands"
"Kithul","Caryota urens","Aricaceae","Multiple use","Along water ways, Home gardens"
"Koopi","Coffea arabica","Rubiaceae","Beverage","Home gardens"
"Sabukku","Grevillea robusta","Proteaceae","Nurse tree wood","Restoration sites home gardens below 1500m"
"Kenda","Macaranga spp.","Euphorbiaceae","Pioneer spp. for restoration","For restoration sites / Cardamom plantations outside of forests"
"Bu kenda","Mallotus
spp.","Euphorbiaceae","Pioneer spp. for restoration","For restoration sites / Cardamom plantations outside of forests"
"Sudu Hadun","Santalum album","Santalaceae","Valuable wood","Grassland Wasted lands, Home gardens"
"Bora","Ligustrum robustum","Oleaceae","Medicinal/ Restoration intermediate stage/ wood","Below 1500m"
"Wana Sapu","Magnolia nilagirica","Magnoliaceae",,
"Wana Idala","Wendlandia bicuspidata","Rubiaceae","Medicinal/ Restoration Pioneer","Below 1500m"
"Toona","Toona ciliata","Meliaceae","Nurse tree-Restoration, animal repellent / Wood","Below 1500m"
