"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-012 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","496A","Ambaliyadda1","1. Renovation of natural drains - Kahitiye Oya","1","7.174264","80.767016","150 m","Planting some trees along the banks and other conservation practices",,"15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Alawala Oya","1","7.177713","80.767113","6.5 km","Planting some trees along the banks and other conservation practices",,"650,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","665,000",,,,,,,,,,,
"2","496B","Arattana","1. Renovation of natural drains - Minegaharawa Kandura","1","7.177991","80.768585","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent near Maha Vidyalaya","1","7.17887","80.767154","270 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"27,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Alawala Oya","3","7.178642","80.767304","1.3 km","Planting some trees along the banks and other conservation practices",,"130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Establishing a retaining wall","3","7.178642","80.767304","25 m x 3 m","Retaining Wall Concrete)",,"2,909,500","By the project","0.25 Years"
,,,"5. Establishing a retaining wall","4","7.181983","80.762493","100 m x 3 m","Retaining Wall Concrete)",,"11,616,000","By the project","0.5 Years"
"Sub Total","14,697,500",,,,,,,,,,,
"3","496C","Dampola","1. Renovation of natural drains - Kirinde Kandura","4","7.171873","80.760467","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Pitala Kandura","1","7.175082","80.76053","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","250,000",,,,,,,,,,,
