"Table 5.13: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation structure","Coordinate N","Coordinate E","Observed problems","Proposal","Amount"
"496 A","Kanitiye Ela","7.17514","80.766582","•Seepages towards the field side. (L- 30m)","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","114400"
"496 A","Yatahalgama anicut","7.175849","80.766296","•Currently distributing water by constructing a temporary anicut.","1. Construct a new anicut with anicut planks2. Construct a sluice3. Vegetative cover and tree planting","567710"
"496 A","Yatahalgama canal","7.175895","80.765512","•Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","275470"
"496 A","Aththanameya canal","7.178909","80.766521","•A part of canal is not concrete lined.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","756990"
"496 A","Aththanameya canal","7.178909","80.766521","•Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","573690"
"496 B","Mithel Arawe Ela","7.178642","80.767304","•Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","649220"
"496 B","Viharawala Ela","7.176625","80.769499","•Seepages from a part of the canal's side wall. (L- 7m)","1. Concrete lining of the canal 2. Vegetative cover and tree planting","62660"
"496 B","Polgaharawa Ela","7.178317","80.769454","•Water cannot be conveyed from spring to the canal.","1. Construct a canal over crossing 2. Concrete lining of the canal 3. Vegetative cover establishment","291720"
"496 B","Thiththa Pannala Ela","7.17838","80.767989","•Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","205270"
"496 C","Uduwe Ela","7.18508","80.757302","•Seepages towards the field side and overflow from the canal because absence of a bank.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","1168830"
"496 C","Malana canal","7.175988","80.761213","•Seepages towards the field side. •Water overflows from the canal because the absence of the side walls.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","450710"
"496 C","Heenatimulla canal","7.175251","80.759483","•Seepages towards the field side and overflow from the canal.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","423670"
"496 C","Kajugas Kella Ela","7.178919","80.757196","•The canal is not in proper condition to distribute water.•51% of the total land area is cultivated, but only in one season.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","582725"
"494","Madawela canal","7.168989","80.776328","•Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","572910"
"494 E","Gedara Kubura canal","7.173422","80.775183","•Seepages from a concrete lined part of the canal. •Seepages towards the field side.","1. Concrete lining of the canal 2. Earth filling the reservation3. Vegetative cover and tree planting","152880"
