"Table 5.44: Cost estimates","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"paddy yaya development program","Supply of parachute Trays",,"2,500","80","200,000.00","75%","150,000.00"
,"Supply of certified seed paddy (bu)",,"5","4200","21,000.00","100%","21,000.00"
,"Soil testing",,"10","290","2,900.00","100%","2,900.00"
,"Supply of Bio films (1 Liter) Bottles",,"10","900","9,000.00","100%","9,000.00"
,"supply of Cruiser as seed Treatments",,"5","900","4,500.00","100%","4,500.00"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"50","7500","375,000.00","75%","281,250.00"
,"Supply of Electric fence",,"20","40,000","800,000.00","75%","600,000.00"
,"Supply of Water Pumps (Robin)",,"5","70,000","350,000.00","75%","262,500.00"
,"Supply of Brush Cutters",,"5","30,000","150,000.00","75%","112,500.00"
,"Supply of Knapsac Sprayers (16L)",,"2","30,000","60,000.00","75%","45,000.00"
"Improvement of Cultivation practices of Bitter gourd","Soil testing",,"7","290","2,030.00","100%","2,030.00"
,"supply of Plant covers (0.8\"x200m",,"20","15000","300,000.00","100%","300,000.00"
,"supply of fruit covers",,"35","2400","84,000.00","100%","84,000.00"
,"Supply of Insect Proof nets (3mx50m)",,"21","30,000","630,000.00","75%","472,500.00"
,"supply of Cruiser as seed Treatments (5g Packs)",,"10","900","9,000.00","100%","9,000.00"
,"Supply of Bio films (500ml) bottles",,"20","1,250","25,000.00","100%","25,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"10","1,000","10,000.00","100%","10,000.00"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000.00","100%","20,000.00"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of chili hybrid seeds (MICH hy 1)",,"500g","130,000","65,000.00","100%","65,000.00"
,"Supply of Seedling trays with 72 holes",,"100","150","15,000.00","100%","15,000.00"
,"sprinkler irrigation system for 1/4 ac Demonstration",,"1","100,000","100,000.00","75%","75,000.00"
,"Supply of Poly mulch roles (1.2m*400m)",,"2","20,000","40,000.00","100%","40,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000.00","100%","30,000.00"
,"Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches",,"10","12,000","120,000.00","100%","120,000.00"
,"Supply of Insect Proof nets (3mx50m)",,"30","30,000","900,000.00","75%","675,000.00"
,"Supply of Lakgrow neem 100ml bottles",,"20","1,000","20,000.00","100%","20,000.00"
"Improvement of Cultivation Practices of Bean (10 Farmers with 1/4 ac)","Introduction of new Bean variety Kekulu / HoRDI Pokuru Supply Quality Seeds) kg",,"50","2,500","125,000.00","100%","125,000.00"
,"supply of Cruiser as seed Treatments (5g Packs)",,"50","900","45,000.00","100%","45,000.00"
,"Supply of Rhizobium Inoculum 100g packs",,"50","400","20,000.00","100%","20,000.00"
