"Table 2.2: Land use and land cover details of MWS-012","","",""
"No","Land cover","Area","NA"
,,"ha","%"
"1","Builtup land","9.37","0.53%"
"2","Forest lands","125.53","7.05%"
"3","Forest plantation","55.56","3.12%"
"4","Grass land","68.88","3.87%"
"5","Home garden","1035.87","58.15%"
"6","Paddy","257.47","14.45%"
"7","Rocky area","6.28","0.35%"
"8","Scrub land","63.53","3.57%"
"9","Seasonal crops","137.94","7.74%"
"10","Tea","1.27","0.07%"
"11","Water bodies","17.87","1.00%"
"12","Wetland","1.67","0.09%"
,"Total","1781.25","100.00%"
