"Table 5.12: Estimate of water source protection-related activities","","","","","",""
"GND No","Name of the Tank","Co ordinates","Problem","Recommendation","Estimated Cost  Rs","NA"
,,"N","E",,,
"496 C","Hitale Linda","7.175087","80.76052","Leakage of water from spring tank","Construction of two Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","1,430,000"
"496 C","Madawela Linda","7.172989","80.7597","•The walls around the well are dilapidated•Washing away the soil from the land above the spring","1. Construction of 1.5m high x 0.15m thick RCC wall (0.8m base).2. Improving vegetative cover and tree planting around the spring.","174,980"
"496 C","Kinspe Watta Linda","7.1836","80.76016","The wall of the well is dilapidated","1. Construction of concrete water tank.2. Improving vegetative cover with tree planting.","761,930"
"494","Galketana Well","7.168454","80.77694","•The capacity of the tank is not enough•Water leaks from the walls of the well","1.  Construction of a concrete tank. 2. Plastering leaking sections to prevent leakages.3. Construction of a curtain wall.4. Improving vegetative cover with tree planting.","100,750"
"495 D","Thissa pokuna","7.180792","80.775","•The reservation area is there, but the boundaries are not marked•On rainy days, the water flowing through the torrent fills the well","1. Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","128,310"
"494 D","Walabokka Spring","7.171822","80.77012","•No protection fence•The well is dilapidated","1. Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","226,850"
"492 B","Gal Kadulla Pihilla Ulpatha","7.156035","80.79137","The reservation of the spring (About 1 acre) is not protected","1. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance2. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop i","84,630"
"494 A","Gorakgaha Kumbura Ulpatha","7.151634","80.7755","Soil wash-offs above the spring","1. Construction of 2.1m high RR masonry wall (with section 0.60x0.75, 0.45x0.75, 0.30x0.60) over 0.90m width x 0.15m thick screed  concrete, plastering with 1:3 Menet motor and back filling.2. Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","183,820"
"494 A","Heda Ulpatha","7.15101","80.77762","Soil erosion above the spring ,Spring tank is dilapidated","Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed  concrete, plastering with 1:3 Menet mortar and back filling.2. Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.53. Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, Green gram as a cover crop","1,032,980"
