"Table 5.39: Livelihood challenges and community expectations","",""
"GNDs","Problems","Expected Solutions"
"Abaliyadda 1","Capital deficiency for value-added products, machine shortage for value added products, market problems for products, lack of training for value-added products, lack of storage facilities, lack of raw materials for make value added products, absence of grassland for animal husbandry, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, obtaining high-quality seeds for vegetables/paddy/fruits/export crops, animal damage, post-harvest losses, lack of training for cultivation, lack of polytunnel funds","Funding aids, electric fences, training programs, storage facilities, machine  facilities, access to quality seeds"
"Arattana","Capital deficiency for value-added products, machine shortage for value added products, market problems for products, lack of raw materials, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, obtaining high-quality seeds for vegetables/paddy/fruits/export crops, animal damage, post-harvest losses, lack of training for cultivation, lack of storage facilities, lack of funds to build the polytunnel, shortage of fertilizers and chemicals","Funding aids, electric fences, access to quality seeds, storage and machines solutions, training programs"
"Dampola","Capital deficiency for value-added products, machine shortage, market problems for products, lack of training for value-added products, lack of storage facilities, lack of value-adding facilities, lack of raw materials, lack of funds to buy animals, obtaining high-quality seeds for paddy and vegetables, animal damage, post-harvest losses for paddy/vegetables/fruits, lack of training for cultivation, lack of funds to build the polytunnel, shortage of fertilizers and chemicals","Financial support, access to storage, training programs, electric fences, fertilizers and chemicals"
"Damunumeya","Absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, obtaining high-quality seeds, animal damage, post-harvest losses, lack of training for cultivation, marketing problems, lack of storage facilities, lack of value-adding products","Funding for shelters, electric fencing, quality seeds, storage facilities"
"Damunumeya North","Capital deficiency for value-added products, machine shortage, lack of training for value-added products, lack of storage facilities, lack of value-adding facilities, lack of raw materials, absence of grassland, land problems for animal husbandry, lack of funds to buy animals, problem marketing products, obtaining high-quality seeds for paddy/vegetables/fruits, animal damage, post-harvest losses for paddy/vegetables/fruits, lack of training for cultivation, shortage of fertilizers and chemicals","Funding aids, electric fences, storage, training programs, access to fertilizers and chemicals"
"Delgahapitiya","Capital deficiency for value-added products, machine shortage, lack of training for value-added products, lack of storage facilities, lack of value-adding facilities, lack of raw materials, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, problem marketing products, obtaining high-quality seeds for paddy/vegetables/fruits, animal damage, post-harvest losses, shortage of fertilizers and chemicals","Financial support, electric fences, quality seeds, storage solutions, fertilizers and chemicals"
"Diyawala","Obtaining high-quality seeds for export crops, animal damage, post-harvest losses for export crops, lack of training for cultivation, marketing problems, lack of storage facilities, lack of value-adding products","Provision of quality seeds, electric fences, storage facilities, training programs"
"Diya Udugama","Obtaining high-quality seeds for paddy and fruits, animal damage, post-harvest losses for paddy and fruits, lack of training for cultivation, marketing problems","Training programs, electric fencing, market linkage support"
"Dodamkubura","Machine shortage for making value-added products, lack of raw materials for value-added products, animal damage","Machinery support, raw material funding, electric fences"
"Dolugala","Machine shortage for making value-added products, lack of raw materials for value-added products, animal damage","Machinery support, raw material funding, electric fences"
"Hanguranketha","Lack of funds to build the polytunnel, obtaining high-quality seeds/plants, shortage of fertilizers and chemicals for polytunnels, lack of training for polytunnel, market problems for products, lack of storage facilities, lack of value-adding facilities","Polytunnel funding, storage facilities, training, access to fertilizers and chemicals"
"Hapuwala","Capital deficiency for value-added products, machine shortage for make value added products, market problems for products, lack of training for value-added products, lack of storage facilities, lack of value-adding facilities, lack of raw materials, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, obtaining high-quality seeds for vegetables/fruits/export crops, animal damage, shortage of fertilizers and chemicals","Financial support, electric fencing, storage solutions, fertilizers and chemicals, training programs"
"Kottala","No money to build animal shelters, lack of funds to buy animals, lack of animals to buy, problem marketing products, obtaining high-quality seeds for fruits/export crops, animal damage, post-harvest losses, lack of training for cultivation, marketing problems, lack of storage facilities, lack of value-adding products, lack of funds to build the polytunnel, shortage of fertilizers and chemicals, lack of training for polytunnel","Funding for shelters, electric fences, training programs, access to quality seeds"
"Pallemaluwa","Capital deficiency and machine shortage for value-added products, market problems for products, lack of training for value-added products, lack of storage facilities, lack of value-adding facilities, lack of raw materials, obtaining high-quality seeds, animal damage, post-harvest losses, lack of training for cultivation, lack of funds to build the polytunnel, shortage of fertilizers and chemicals, lack of training for polytunnel","Funding aids, electric fences, polytunnel support, fertilizers and chemicals"
"Pussalamankada","Capital deficiency for value-added products, machine shortage for make value added products, market problems for products, lack of training for value-added products, absence of grassland, no money to build animal shelters, land problems for animal husbandry, lack of funds to buy animals, lack of animals to buy, problem marketing products, obtaining high-quality seeds, animal damage, post-harvest losses, lack of training for cultivation","Financial assistance, electric fences, quality seeds, training programs"
