No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Sum (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,496A,Ambaliyadda1,1. Renovation of natural drains - Kahitiye Oya,1,Off,7.174264,80.767016,150 m,Planting some trees along the banks and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
2,496A,Ambaliyadda2,2. Renovation of natural drains - Alawala Oya,1,Off,7.177713,80.767113,6.5 km,Planting some trees along the banks and other conservation practices,,"650,000.00","       665,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,496B,Arattana,1. Renovation of natural drains - Minegaharawa Kandura,1,Off,7.177991,80.768585,150 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
4,496B,Arattana,2. Renovation of natural drains - Torrent near Maha Vidyalaya,1,Off,7.17887,80.767154,270 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"27,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
5,496B,Arattana,3. Renovation of natural drains - Alawala Oya,3,Off,7.178642,80.767304,1.3 km,Planting some trees along the banks and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,496B,Arattana,4. Establishing a retaining wall,3,Off,7.178642,80.767304,25 m x 4.5 m,Retaining wall,"2,000.00 m-2","225,000.00",,Labour and other basic services by the Local community,0.5 Years
7,496B,Arattana,5. Establishing a retaining wall at 45 degrees slope,4,Off,7.181983,80.762493,100 m x 7.5 m,Retaining wall,"2,000.00 m-2","1,500,000.00","     1,897,000.00  ",Labour and other basic services by the Local community,0.5 Years
8,496C,Dampola,1. Renovation of natural drains - Kirinde Kandura,4,Off,7.171873,80.760467,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,496C,Dampola,2. Renovation of natural drains - Pitala Kandura,1,Off,7.175082,80.76053,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,496C,Dampola,3. Soil conservation practices - Dampola  (60°),1,On,7.182702,80.757141,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00","        550,000.00  ",Labour and other basic services by the Local community,0.25 Years
11,494,Damunumeya,1. Renovation of natural drains - Dead torrent in Damunumeya Kotawegedara road,3,Off,7.171749,80.777519,260 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"26,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
12,494,Damunumeya,2. Renovation of natural drains - Torrent near madawela Yaya,2,Off,7.168947,80.776408,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,494,Damunumeya,3. Renovation of natural drains - Randeniye Kandura,1,Off,7.16801,80.776927,220 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"22,000.00","298,000.00",Labour and other basic services by the Local community/ Shramadana,0.25 Years
14,494E,Damunumeya North,1. Renovation of natural drains - Alawala Oya,2,Off,7.173447,80.775117,1.5 km,Planting some trees along the banks and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
15,494E,Damunumeya North,2. Renovation of natural drains - Pilapitiya Kandura,1,Off,7.17743,80.774187,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
16,494E,Damunumeya North,3. Soil conservation practices - Kottegoda  (60°),1,On,7.177141,80.770358,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
17,494E,Damunumeya North,4. Constructing a retaining/side wall  near Neelawathura stream,1,Off,7.177888,80.773765,20 m x 3 m,Retaining wall,"2,000.00 m-2","120,000.00",,Labour and other basic services by the Local community,0.5 Years
18,494E,Damunumeya North,5. Constructing a retaining wall (driveway) - Welyawaththa,1,Off,7.175978,80.773825,24 m x 1.2 m,Retaining wall,"2,000.00 m-2","57,600.00","        727,600.00  ",Labour and other basic services by the Local community,0.5 Years
19,495D,Delgahapitiya,1. Renovation of natural drains - Torrent flows from Hanguranketha Wewa,1,Off,7.180792,80.775,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
20,495D,Delgahapitiya,2. Renovation of natural drains - Delgahapitiya Meda kandura,2,Off,7.181831,80.774717,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
21,495D,Delgahapitiya,3. Soil conservation practices - Delgahapitiya  (70°),5,On,7.181825,80.774691,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
22,495D,Delgahapitiya,4. Soil conservation practices - Tank road  (80°),5,On,7.181964,80.775461,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
23,495D,Delgahapitiya,5. Constructing a retaining wall - Polwaththa Wewa road,1,Off,7.182002,80.775462,4.5 m x 9 m,Retaining wall,"2,000.00 m-2","81,000.00","3,931,000.00",Labour and other basic services by the Local community,0.25 Years
24,494D,Deliwala,1. Renovation of natural drains - Kottagaha Wella Kandura,4,Off,7.171728,80.769993,1.25 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"125,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
25,494D,Deliwala,2. Renovation of natural drains - Dehipe Kandura,1,Off,7.17057,80.768771,450 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"45,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
26,494D,Deliwala,3. Soil conservation practices - Alawthugama  (70°),4,On,7.168536,80.770438,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00","2,170,000.00",Labour and other basic services by the Local community,0.5 Years
27,492,Diya - Udagama,1. Renovation of natural drains - Bataketiya Kandura,4,Off,7.16074,80.79512,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
28,492,Diya - Udagama,2. Renovation of natural drains - Torrent near Balawadeniya Tank,5,Off,7.15777,80.794139,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
29,492,Diya - Udagama,3. Renovation of natural drains - Maa Pela waterfall,1,Off,7.167978,80.783494,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
30,492,Diya - Udagama,4. Renovation of natural drains - Gorakgaha Kandura,1,Off,7.160902,80.784407,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
31,492,Diya - Udagama,5. Soil conservation practices - Wawathenna  (75°),5,On,7.162859,80.791727,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
32,492,Diya - Udagama,6. Soil conservation practices - Wawathenna  (65°),4,On,7.159025,80.793332,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
33,492,Diya - Udagama,7. Soil conservation practices - Wawathenna  (60°),1,On,7.157226,80.794072,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
34,492,Diya - Udagama,8. Soil conservation practices - Wawathenna  (65°),1,On,7.156888,80.795016,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,0.25 Years
35,492,Diya - Udagama,9. Soil conservation practices - Wawathenna  (65°),5,On,7.157928,80.792584,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
36,492,Diya - Udagama,10. Soil conservation practices - Diya - Udagama (75°),2,On,7.160695,80.784193,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
37,492,Diya - Udagama,11. Soil conservation practices - Maa Palalla Reserve  (70°),4,On,7.15769,80.783519,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00","9,680,000.00",Labour and other basic services by the Local community,0.25 Years
38,492B,Dodamkumbura,1. Renovation of natural drains - Gorakadanda Kandura,1,Off,7.151656,80.790534,2.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"220,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
39,492B,Dodamkumbura,2. Renovation of natural drains - Sellajja Kumbura Kandura,1,Off,7.15474,80.788193,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
40,492B,Dodamkumbura,3. Renovation of natural drains - Ampitigala Kandura,3,Off,7.156907,80.788308,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
41,492B,Dodamkumbura,4. Soil conservation practices - Udawalugama  (70°),4,On,7.151954,80.789721,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
42,492B,Dodamkumbura,5. Soil conservation practices - Udawalugama  (60°),1,On,7.15066,80.789146,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
43,492B,Dodamkumbura,6. Soil conservation practices - Ilukkotuwa  (65°),3,On,7.155758,80.788945,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.25 Years
44,492B,Dodamkumbura,7. Soil conservation practices - Sellajja Kumbura  (60°),1,On,7.156068,80.790278,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","5,210,000.00",Labour and other basic services by the Local community,0.25 Years
45,494A,Dolugala,1. Renovation of natural drains - Dolugala Torrent/Kandura No.1 (Dead torrent),5,Off,7.166891,80.765126,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"110,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
46,494A,Dolugala,2. Renovation of natural drains - Torrent/Kandura No.2,5,Off,7.149433,80.778317,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
47,494A,Dolugala,3. Renovation of natural drains - Torrent No. 3/Kandura,1,Off,7.14904,80.777612,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
48,494A,Dolugala,4. Renovation of natural drains - Torrent No. 4/Kandura,1,Off,7.149968,80.777663,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
49,494A,Dolugala,5. Renovation of natural drains - Torrent No.5/Kandura,5,Off,7.150561,80.775352,550 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"55,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
50,494A,Dolugala,6. Renovation of natural drains - Torrent No. 6/Kandura,4,Off,7.15067,80.775245,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
51,494A,Dolugala,7. Renovation of natural drains - Torrent No. 7/Kandura,1,Off,7.151991,80.775064,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
52,494A,Dolugala,8. Renovation of natural drains - Torrent No. 8/Kandura,4,Off,7.154145,80.775188,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
53,494A,Dolugala,9. Renovation of natural drains - Torrent No.9 (Keenagahawala Kandura)/Kandura,5,Off,7.154553,80.77452,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
54,494A,Dolugala,10. Renovation of natural drains - Torrent/Kandura No. 10,5,Off,7.155676,80.773783,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
55,494A,Dolugala,11. Renovation of natural drains - Torrent/Kandura No. 11,4,Off,7.15793,80.773967,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
56,494A,Dolugala,11. Renovation of natural drains - Torrent/Kandura No. 12,4,Off,7.15803,80.773077,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
57,494A,Dolugala,13. Renovation of natural drains - Torrent/Kandura No. 13,4,Off,7.159503,80.772635,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
58,494A,Dolugala,14. Renovation of natural drains - Torrent/Kandura No. 14,3,Off,7.159876,80.771661,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
59,494A,Dolugala,15. Renovation of natural drains - Torrent/Kandura No. 15,4,Off,7.161479,80.77095,2.4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"240,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
60,494A,Dolugala,16. Renovation of natural drains - Torrent/Kandura No. 16,4,Off,7.161917,80.7702,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
61,494A,Dolugala,17. Renovation of natural drains - Torrent/Kandura No. 17,5,Off,7.161183,80.769227,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
62,494A,Dolugala,18. Renovation of natural drains - Torrent/Kandura No. 18,4,Off,7.16105,80.76893,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
63,494A,Dolugala,19. Renovation of natural drains - Torrent/Kandura No. 19,4,Off,7.162448,80.76679,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
64,494A,Dolugala,20. Renovation of natural drains - Torrent/Kandura No. 20 (Galpoththa Kandura),4,Off,7.162428,80.766748,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"130,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
65,494A,Dolugala,21. Renovation of natural drains - Torrent/Kandura No. 21,3,Off,7.159868,80.771645,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
66,494A,Dolugala,22. Soil conservation practices - Udathenna (45°),2,On,7.166799,80.765258,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
67,494A,Dolugala,23. Soil conservation practices - Rathmetiya Gama (85°),4,On,7.152286,80.776146,28 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"7,000,000.00",,Labour and other basic services by the Local community,1 Year
68,494A,Dolugala,24. Soil conservation practices - Dolugala (60°),4,On,7.150927,80.776967,26 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"6,500,000.00",,Labour and other basic services by the Local community,1 Year
69,494A,Dolugala,25. Soil conservation practices - Dolugala (85°),4,On,7.151607,80.776729,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
70,495,Hanguranketha,1. Renovation of natural drains - Elamal Wewa Kandura,5,Off,7.176542,80.778479,2.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"230,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
71,495,Hanguranketha,2. Renovation of natural drains - Dead torrent/kandura near Abeyrathne's house,1,Off,7.172993,80.782141,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
72,495,Hanguranketha,3. Renovation of natural drains - Torrent/kandura near Premarathne's house,2,Off,7.172456,80.782372,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
73,495,Hanguranketha,4. Soil conservation practices - Sirimawo Vidyalaya (75°),3,On,7.174867,80.779541,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
74,495,Hanguranketha,5. Soil conservation practices - Diyathilake government lands (70°),1,On,7.171795,80.783499,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,1 Year
75,495,Hanguranketha,6. Establishing a leader drain - Near the Thissage (End of the Diyathilakapura),5,Off,7.171687,80.783576,60 m x 0.3 m x 1 m,Leader Drain,"3,000.00 m-3","54,000.00",,"Guidance by NRMC, Labour and other basic services by the Local community",0.25 Years
76,495,Hanguranketha,7. Establishing a leader drain - Diyathilakapura road,4,Off,7.17252,80.78281,1000 m x 0.3 m x 1 m,Leader Drain,"3,000.00 m-3","900,000.00",,"Guidance by NRMC, Labour and other basic services by the Local community",0.5 Years
