"Table 2.2: Land use and land cover details of MWS-006-2","","",""
"No.","Land.cover","Area","NA."
"","","ha","%"
"1","Builtup land","2.8","0.6%"
"2","Farms & Associated lands","1.9","0.4%"
"3","Forest lands","3.7","0.8%"
"4","Forest plantation","108.7","22.8%"
"5","Grass land","0.0","0.0%"
"6","Home garden","35.0","7.3%"
"7","Mining Sites","1.2","0.3%"
"8","Perennials","0.3","0.1%"
"9","Rocky area","5.5","1.2%"
"10","Scrub land","195.0","40.9%"
"11","Seasonal crops","76.4","16.0%"
"12","Tea","39.4","8.3%"
"13","Water bodies","3.2","0.7%"
"14","Wetland","4.0","0.8%"
"","Total","477.1","100.0%"
