"Table 2.2: Land use and land cover details of MWS-036","","",""
"No","Land cover","X","NA"
,,"ha","%"
"1","Builtup land","9.06","0.51%"
"2","Chena","194.26","10.94%"
"3","Forest lands","501.96","28.28%"
"4","Forest plantation","36.22","2.04%"
"5","Grass land","8.76","0.49%"
"6","Home garden","525.65","29.61%"
"7","Mining Sites","5.79","0.33%"
"8","Paddy","255.46","14.39%"
"9","Rocky area","3.41","0.19%"
"10","Scrub land","103.72","5.84%"
"11","Seasonal crops","117.52","6.62%"
"12","Waste Management","1.46","0.08%"
"13","Water bodies","11.98","0.68%"
,"Total","1775.25","100.00%"
