"Table 2.6: Age group categorization of the population of MWS-103-1 (GN-wise)","","","",""
"GND No","GND Name","X0 5","X6 14","X15 18"
"682","Dodamgolla","241","90","242"
"692","Kundasale South*","467","1015","193"
"661","Bogaskumbura","54","136","60"
"681","Nithulethenna","80","145","85"
"680","Hurikaduwa East","117","228","153"
"706","Dambarawa","65","181","126"
"707","Hathamuna","91","257","110"
"679","Hurikaduwa South","161","164","153"
"677","Hurikaduwa West","110","216","126"
"678","Hurikaduwa North","92","182","205"
"673","Udagama South","82","87","88"
"675","Maharathenna West","48","105","60"
"708","Delgaslanda","36","162","64"
"672","Udagama North","60","133","53"
"676","Ihala Gonagama","50","127","93"
"Total","1754","3228","1811",
