"Table 5.29: Some characteristic species recorded in MWS-103-1","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Gymnosphaera gigantia","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Celastraceae","Salacia reticulata","E","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Lauraceae","Litsea iteodaphne","EG","VU"
"Orchidaceae","Acanthophippium bicolor","N","EN"
"Balsaminaceae","Impatiens flaccida","E","EN"
"Gentianaceae","Exacum trinarvium","E","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Gesneriaceae","Henckelia moonii","E","VU"
