"Table 5.36: Proposed interventions MWS-103-1","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 03 Awareness Programs","Around Deldaslanda forest (Gonagama, Udagama) 7.329373, 80.720671","Refreshments","120","Packs","400","48,000","2025"
,,"Fuel                                  
(Rs 3,750/programs) - Two visits (for organizing and conducting program)","6","Lump sum","3,750","22,500",
,,"Stationaries (file covers/ Handouts)","3","Lump sum","2,500","12,500",
,,,,,"Sub total","83,000",
,,"Contingency (10%)",,,,"8,300",
,,,,,"Total","91,300",
"Erect 01 display boards","Around Deldaslanda forest (Gonagama) 7.329373, 80.720671","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","1","Boards","24,250","24,250","2025"
,,"Transportation of boards","1","Truck load","5,000","5,000",
,,"Metal, Sand and Cement mixture for erection of board","1","Lump sum","750","750",
,,"Fixing Boards (2 Man days/Board)","2","Man days","2,500","5,000",
,,,,,"Sub Total","35,000",
,,"Contingency (10%)",,,,"3,500",
,,,,,"Total","38,500",
"Establishment and Maintenance of Bio fence","Deldaslanda forest 7.329373, 80.720671","Producing 100 seedlings (12\"x18”) (Suitable spp)","500","Seedlings","50","25,000","2026"
,,"Transportation of seedlings (300/Lorry load)","2","-","5,000","10,000",
,,"Head transport of seedling within the site (5 Man days)","5","Man days","2,500","12,500",
,,"Holing and planting (33 Man days)","33","Man days","2,500","82,500",
,,"Protection, Covering with polyethene (1.5'x1.5'x3')-","500","Wooden boxes","150","75,000",
,,"Fertilizer (50 gr / Seedling)","25","Kg","300","7,500",
,,"Applying fertilizer (9 Man days/ha)","9","Man Days","2,500","22,500",
,,"Vacancy Planting -Seedling cost (20%)","100","Seedlings","50","5,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","7.0","man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","50","Seedlings","50","2,500","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","4","Man days","2,500","10,000",
,,"1st years 
3 maintenances, 10 Man days, 3 times/year","30","Man days","2,500","75,000","2027"
,,"2nd year 2 maintenance 
(2 times /year) 8 Man days","16","Man days","2,500","40,000","2028"
,,"3rd year 2 maintenance (Once only) 8 Man days","16","Man days","2,500","40,000","2029"
,,"4th year 
1 maintenance (Once only) 
12 Man days","10","Man days","2,500","25,000","2030"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2030"
,,,,,"Sub Total","527,000",
,,"Contingency (10%)",,,,"46,000",
,,,,,"Total","573,000",
"Maintenance of 2 Km of Forest Boundaries","Deldaslanda forest 7.329373, 80.720671","Clearing land around boundary posts (1m circle)","8","Man days","2,500","20,000",
,,"Cleaning boundary posts","8","Man days","2,500","20,000",
,,"Painting boundary posts with Red and Yellow colours","6","Man days","2,500","15,000",
,,"Numbering boundary posts","1","Man days","2,500","2,500",
,,"Paint, Brushes and thinner","80","Lump sum","100","8,000",
,,,,,"Sub Total","65,500",
,,,,,,"6,550",
,,,,,"Total","72,050",
"Forest Restoration 
(2 ha)","Deldaslanda forest 7.329373, 80.720671","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500",
,,"Seedling production 500 seedlings / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000",
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10% )- Seedling cost","80","Seedlings","300","24,000",
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000",
,,"2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000",
,,"3rd year 2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000",
,,"4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000",
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000",
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
,,,,,"Sub Total","2,194,950",
