"Table 2.5: GN-wise demographic details of the MWS-103-1","","","","",""
"GND No","GN Name","Female","Male","No  of Houses","No  of families"
"682","Dodamgolla","1002","951","476","589"
"692","Kundasale South","3767","3525","1700","1920"
"661","Bogaskumbura","684","637","376","396"
"681","Nithulethenna","707","741","397","407"
"680","Hurikaduwa East","996","935","518","507"
"706","Dambarawa","1016","744","457","472"
"707","Hathamuna","821","813","406","435"
"679","Hurikaduwa South","744","697","362","386"
"677","Hurikaduwa West","865","866","393","473"
"678","Hurikaduwa North","1039","979","559","584"
"673","Udagama South","620","676","288","335"
"675","Maharathenna West","429","440","239","269"
"708","Delgaslanda","588","596","307","346"
"672","Udagama North","533","501","311","322"
"676","Ihala Gonagama","479","495","246","270"
,"Total","14290","13596","7035","7711"
