"Table 3.7: Occupational details of the community of MWS-028 (GN-wise)","","","","","","","","","",""
"GND No","GND Name","Employment","Unemployment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6"
,,"Government","Forces","Private Sector","Self-Occupied","Agriculture","Foreign Services","Laborer","Estate worker",
"506C","Medakandura","5","24","278","6","275","9","26","169","147"
"513F","Andawala","8","20","17","16","0","1","22","0","60"
"506E","Madumana","29","22","400","12","90","3","65","0","297"
"506B","Liyanwala Pahalagama","50","38","428","123","129","14","118","0","402"
"506D","Liyanwela Ihalagama","4","11","101","21","240","7","0","0","333"
"506F","Ilukpelessa","19","28","92","16","75","5","9","0","29"
"514A","Naranthalawa","1","5","37","3","16","0","16","0","62"
,"Total","116","148","1353","197","825","39","256","169","1330"
