"Table 6.25: Time frame for implementing stream reservation activities","","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs","X"
"506 B","Andaoya Kandura","7.113926","80.827753","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","78,650.00",
"506 B","Kithulgolla Kandura","7.112774","80.8246","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","90,400.00",
"506 B","Madiththagolla - Pahala Kandura","7.119591","80.824479","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","71,900.00",
"506 B","Mati yaknawa Kandura","7.112907","80.824943","During the rainy season when too much water flows, Bank erosion occurs, The road was erosion during the rainy season and a house is also damaged.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenanceConstruction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 2.1m, top width 0.25m, 0.70m high steps x 03, each of 0.15m step width & bottom width 0.70m)","583,650.00",
"506 C","Diyanilla Ela","7.090347","80.829522","A canal that getting water for cultivation purposes.",,,"Minor Irrigation"
"506 C","Madakandura","7.09571","80.82711","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","90,400.00",
"506 C","Kalotuwawa Ela","7.09943","80.82662","A canal that getting water for cultivation purposes.",,,"Minor Irrigation"
"506 D","Udabiththara Amuna",,,"This canal comes under minor irrigation. Please refer under format no.15",,,
"506 D","Ugurassa gahayata Ela",,,"This canal comes under minor irrigation. Please refer under format no.16",,,
"506 D","Andaoya Reserve","7.103392","80.833525","Passing through a rocky plain. Some places there are huge boulders. A large amount of water flows during rainy season. Banks are eroded.","9\" thk flat Rubble paving in 1:6 Cement mortarVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","270,137.50",
