"Table 6.19: Tentative Cost Estimate for Minor Irrigation-Related Recommendations","","","","","",""
"GND No","Description","N","E","Observation","Description 1","Amount  Rs"
"506 C","Madhakndura","7.1003","80.8298","About 70 families use water for drinking, A Water Distribution tank (3.7m x 3.7 x 3.0) and water treatment unit has been  constructed (1.5m Ø and 1.8m high), Tank should be repaired.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProviding PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","90,971.33"
"506 C","Madhakndura","7.10137","80.82756","About 50 families use water for drinking, A Water Distribution tank (1.0m x 1.0m x 1.0m) at has been  constructed.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenanceBoulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H)","168,650.00"
"506 C","Madhakndura","7.09943","80.82662","About 20 families use water for drinking",,
"506 D","Varallamana","7.101719","80.832174","Located on small forest. There are no big trees. A concrete wall is constructed near the springs to collect spring water and store the water in the stock tank (2.4m x 1.2m x 1.5m) and distribute it.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 D","Gatathulawa - Magahamulla","7.10684","80.838419","Located on Small forest. The villagers say that the water has decreased because pines have been planted.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Fixing a cover net 3.0m x 3.0mVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","675,000.00"
"506 D","Liyanwela Ihala","7.107044","80.829634","Already the villagers are getting water  from this source. A collecting pit (3m x 2m x 1m)  is constructed.  Used for daily water consumption. There are some Huge trees around the spring.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","117,500.00"
"506 E","Bootawa","7.108899","80.832931","The spring is located in the lake",,
"506 E","Pambe","7.11747","80.832481","A small water tank is constructed to get drinking water","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 E","Rukaththana Madiththa","7.113269","80.83327","Located in Rukaththana Maditta Reserve, A water storage tank and distribution tank have been constructed and water is distributed through it.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 E","Galapitiyawa - Ruppe Pathana",,,"Rainwater tanks have been proposed to store water for cultivation during dry seasons","Construction of ferro cement storage tank of 35 cum - size internal 3m dia x4m high","650,000.00"
