"Table 3.6: Age group categorization of the population of MWS-028 (GN-wise)","","","","","","",""
"GND No","GND Name","X0 5","X6 17","X18 40","X40 60","X60 70","Above 70 years"
"506C","Medakandura","81","179","442","693","112","73"
"513F","Andawala","15","43","82","69","27","19"
"506E","Madumana","37","159","329","206","81","114"
"506B","Liyanwala Pahalagama","0","388","576","262","92","68"
"506D","Liyanwela Ihalagama","51","145","250","171","60","43"
"506F","Ilukpelessa","38","126","144","138","56","48"
"514A","Naranthalawa","24","37","71","47","22","11"
,"Total","246","1077","1894","1586","450","376"
