"Table 6.18: Estimate of Domestic Water Supply-related activities","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"506 B","Kithulgolla (Bathing Tank)","7.11181","80.823633","The constructed water tank is damaged, About 50 families use it for bathing, There is a need for a new tank as it is not enough for the use of 50 families.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","557,050.00"
"506 B","Spring Water Project","7.11457","80.826421","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"506 B","Kithulgolla Water Tank","7.11181","80.823633","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","60,450.00"
"506 C","Madakandure Ihala Ulpotha","7.10089","80.82626","At present drinking water is obtained irregularly,  Water is also obtained from this for school.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Construction of a filtering systemVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","561,750.00"
"506 C","Mahawewa","7.09554","80.82698","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","103,900.00"
"506 D","Keenagaha watta","7.108336","80.829895","Located on Small forest. Currently people are using water irregularly.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","615,200.00"
"506 D","Uguressa arawa Water springs","7.106694","80.831692","Located on Paddy. The water of this spring is used for crops.",,
"506 D","Gatathulawa","7.108315","80.839342","Located on forest reserve. The water here has not been direct used so far.  Located on Small forest. The villagers say that the water has decreased because pines have been planted.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide protective net over tank","630,150.00"
"506 D","Varallamana","7.102271","80.833333","Located below the Alma estate. A grassy area. There is group of water springs. At present, the water of those springs is not used directly.  Not yet preserved.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlingsand dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","50,200.00"
"506 D","Magahamulla",,,"The spring has dried up.",,
