"Table 3.5: GN-wise demographic details of the MWS-028","","","","",""
"GND No","GND Name","No  of Houses","No  of Families","Female","Male"
"506C","Medakandura","289","400","855","725"
"513F","Andawala","72","87","123","132"
"506E","Madumana","242","287","514","412"
"506B","Liyanwala Pahalagama","318","431","637","713"
"506D","Liyanwela Ihalagama","190","225","360","360"
"506F","Ilukpelessa","146","197","284","266"
"514A","Naranthalawa","54","65","97","115"
,"Total","1311","1692","2870","2723"
